  Natural Resources Canada,Geological Survey of Canada,Geoscience Data Repository,BASIN Database
Date: January 18,2021,12:05 pm AST

Well Name,GSC #,Unique Well Identifier,Original Spud Year,Operator,Area,Basin,Status
ADOLPHUS 2K-41,D092,302 K41 47100 48150,1972,MOBIL-GULF,Grand Banks,JEANNE D'ARC BASIN,P&A
ADOLPHUS D-50,D141,300 D50 47000 48150,1974,MOBIL-GULF,Grand Banks,JEANNE D'ARC BASIN,P&A
ADOLPHUS K-41,D093,300 K41 47100 48150,1972,MOBIL-GULF,Grand Banks,JEANNE D'ARC BASIN,P&A
AMETHYST F-20,D318,300 F20 46400 48000,1988,TEXACO ET AL,Grand Banks,JEANNE D'ARC BASIN,P&A
ARCHER K-19,D254,300 K19 46400 48000,1984,HUSKY/BOW VALLEY ET AL,Grand Banks,JEANNE D'ARC BASIN,P&A
ASTER C-93A,N411,300 C93 47000 47000,2014,HUSKY OIL ET AL,Grand Banks,FLEMISH PASS BASIN,ABAND
AVONDALE A-46,D314,300 A46 46400 48300,1988,MOBIL ET AL,Grand Banks,JEANNE D'ARC BASIN,P&A
BACCALIEU F-89,N426,300 F89 48000 46000,2016,STATOIL,Grand Banks,FLEMISH PASS BASIN,SUSP
BACCALIEU I-78,D273,300 I78 48000 46000,1985,ESSO PAREX ET AL,Grand Banks,FLEMISH PASS BASIN,P&A
BALLICATTERS M-96,N347,300 M96 46500 48150,2009,PETRO-CANADA ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
BALLICATTERS M-96Z,N360,300 M96 46500 48151,2010,SUNCOR ENERGY ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
BAY D'ESPOIR B-09,N419,300 B09 48000 46300,2015,STATOIL ET AL,Grand Banks,FLEMISH PASS BASIN,ABAND
BAY DE LOUP M-62,N425,300 M62 48000 46150,2016,STATOIL ET AL,Grand Banks,FLEMISH PASS BASIN,ABAND
BAY DE VERDE F-67,N404,300 F67 48000 46150,2014,STATOIL ET AL,Grand Banks,FLEMISH PASS BASIN,ABAND
BAY DE VERDE F-67Z,N410,300 F67 48000 46151,2014,STATOIL ET AL,Grand Banks,FLEMISH PASS BASIN,ABAND
BAY DU NORD C-78,N391,300 C78 48000 46150,2013,STATOIL CANADA ET AL,Grand Banks,FLEMISH PASS BASIN,ABAND
BAY DU NORD C-78Z,N395,300 C78 48000 46151,2013,STATOIL CANADA ET AL,Grand Banks,FLEMISH PASS BASIN,SUSP
BAY DU NORD L-76,N415,300 L76 48000 46150,2015,STATOIL ET AL,Grand Banks,FLEMISH PASS BASIN,ABAND
BAY DU NORD L-76Z,N416,300 L76 48000 46151,2015,STATOIL ET AL,Grand Banks,FLEMISH PASS BASIN,ABAND
BAY DU NORD P-78,N412,300 P78 48000 46150,2015,STATOIL ET AL,Grand Banks,FLEMISH PASS BASIN,ABAND
BEN NEVIS I-45,D187,300 I45 46400 48150,1980,MOBIL ET AL,Grand Banks,JEANNE D'ARC BASIN,P&A
BEN NEVIS L-55,N164,300 L55 46400 48150,1999,CHEVRON ET AL,Grand Banks,JEANNE D'ARC BASIN,ABAND
