  Natural Resources Canada,Geological Survey of Canada,Geoscience Data Repository,BASIN Database
Date: January 18,2021,12:24 pm AST

Well Name,Basin,Subbasin,Latitude (NAD27),Longitude (NAD27),Northing (NAD27),Easting (NAD27),Latitude (NAD83),Longitude (NAD83),Northing (NAD83),Easting (NAD83),Zone (UTM)
ADOLPHUS 2K-41,JEANNE D'ARC BASIN,,47.01126,-48.36847,5209558,700023,47.011172,-48.367369,5209769,700101,22
ADOLPHUS D-50,JEANNE D'ARC BASIN,,46.98418,-48.37468,5206533,699652,46.984089,-48.373589,5206744,699729,22
ADOLPHUS K-41,JEANNE D'ARC BASIN,,47.01089,-48.36786,5209518,700071,47.0108,-48.366764,5209730,700148,22
AMETHYST F-20,JEANNE D'ARC BASIN,,46.65653,-48.04111,5171031,726390,46.656439,-48.040022,5171243,726467,22
ARCHER K-19,JEANNE D'ARC BASIN,,46.64532,-48.03845,5169794,726640,46.645231,-48.037353,5170005,726718,22
ASTER C-93A,FLEMISH PASS BASIN,,,,,,46.869431,-47.236328,5193083,329571,23
AVONDALE A-46,JEANNE D'ARC BASIN,,46.58579,-48.6051,5161704,683479,46.585706,-48.604022,5161915,683556,22
BACCALIEU F-89,FLEMISH PASS BASIN,,,,,,47.973508,-46.214525,5314069,409356,23
BACCALIEU I-78,FLEMISH PASS BASIN,,47.96167,-46.18079,5312496,411851,47.961525,-46.179656,5312697,411938,23
BALLICATTERS M-96,JEANNE D'ARC BASIN,,46.763175,-48.498922,5181667,690987,46.763084,-48.497836,5181877,691064,22
BALLICATTERS M-96Z,JEANNE D'ARC BASIN,,46.763175,-48.498922,5181667,690987,46.763084,-48.497836,5181877,691064,22
BAY D'ESPOIR B-09,FLEMISH PASS BASIN,,,,,,47.969406,-46.505525,5313997,387630,23
BAY DE LOUP M-62,FLEMISH PASS BASIN,,,,,,47.863528,-46.422061,5302111,393642,23
BAY DE VERDE F-67,FLEMISH PASS BASIN,,,,,,47.938606,-46.411678,5310441,394571,23
BAY DE VERDE F-67Z,FLEMISH PASS BASIN,,,,,,47.938606,-46.411678,5310441,394571,23
BAY DU NORD C-78,FLEMISH PASS BASIN,,,,,,47.950067,-46.441297,5311756,392383,23
BAY DU NORD C-78Z,FLEMISH PASS BASIN,,,,,,47.950067,-46.441297,5311756,392383,23
BAY DU NORD L-76,FLEMISH PASS BASIN,,,,,,47.928872,-46.445175,5309405,392049,23
BAY DU NORD L-76Z,FLEMISH PASS BASIN,,,,,,47.928872,-46.445183,5309405,392049,23
BAY DU NORD P-78,FLEMISH PASS BASIN,,,,,,47.962983,-46.430269,5313176,393233,23
BEN NEVIS I-45,JEANNE D'ARC BASIN,,46.57771,-48.35273,5161425,702843,46.577614,-48.351647,5161635,702920,22
BEN NEVIS L-55,JEANNE D'ARC BASIN,,46.575502,-48.396688,5161067,699483,46.575411,-48.395603,5161278,699560,22
BEOTHUK M-05,JEANNE D'ARC BASIN,,46.413486,-48.520569,5142759,690556,46.413397,-48.519492,5142970,690633,22
BITTERN M-62,HORSESHOE BASIN,,44.69885,-51.17064,4949295,486480,44.698847,-51.169542,4949511,486568,22
BONANZA M-71,JEANNE D'ARC BASIN,,47.51321,-48.1987,5265783,710922,47.513108,-48.197597,5265993,710999,22
BONNE BAY C-73,JEANNE D'ARC BASIN,,46.53632,-48.19181,5157252,715336,46.536225,-48.190719,5157463,715414,22
BONNITION H-32,CARSON BASIN,,45.85744,-48.32549,5081469,707629,45.857372,-48.324394,5081682,707708,22
BOTWOOD G-89,JEANNE D'ARC BASIN,,,,,,46.807936,-48.453467,5186970,694290,22
BRANT P-87,SCOTIAN BASIN,SOUTH WHALE SUBBASIN,44.28331,-52.70541,4904538,363918,44.283317,-52.704314,4904753,364010,22
BRENT'S COVE I-30,JEANNE D'ARC BASIN,,46.491975,-48.551684,5151406,687894,46.491886,-48.550606,5151617,687972,22
CAMBRIOL G-92,FLEMISH PASS BASIN,,,,,,47.855001,-46.984884,5302092,351525,23
CAPE RACE N-68,JEANNE D'ARC BASIN,,,,,,46.629253,-48.412744,5167217,698050,22
CAPPAHAYDEN K-67,FLEMISH PASS BASIN,,,,,,47.943359,-46.665012,5311346,375663,23
CAPPAHAYDEN K-67Z,FLEMISH PASS BASIN,,,,,,47.943359,-46.665012,5311346,375663,23
CAREY J-34,WHALE BASIN,,45.39234,-52.58408,5027539,376002,45.392344,-52.583106,5027755,376082,22
CONQUEST K-09,JEANNE D'ARC BASIN,,47.14297,-48.26252,5224470,707563,47.142872,-48.261422,5224680,707640,22
COOT K-56,WHALE BASIN,,45.76153,-52.14226,5067969,411170,45.761522,-52.141289,5068185,411249,22
CORMORANT N-83,JEANNE D'ARC BASIN,,46.04595,-48.96724,5100944,657275,46.045878,-48.966175,5101156,657352,22
DOMINION O-23,JEANNE D'ARC BASIN,,47.38032,-48.30775,5250725,703223,47.380222,-48.306647,5250936,703300,22
EAST RANKIN H-21,JEANNE D'ARC BASIN,,46.50742,-48.80276,5152555,668578,46.507339,-48.801689,5152767,668656,22
EGRET K-36,JEANNE D'ARC BASIN,,46.42719,-48.83955,5143563,666000,46.427103,-48.838481,5143773,666077,22
EGRET N-46,JEANNE D'ARC BASIN,,46.43226,-48.86315,5144077,664171,46.432175,-48.862083,5144288,664248,22
EIDER M-75,WHALE BASIN,,45.58194,-51.94487,5047816,426285,45.581894,-51.943803,5048028,426371,22
EMERILLON C-56,SCOTIAN BASIN,SOUTH WHALE SUBBASIN,45.25133,-54.38802,5013972,704968,45.251331,-54.387069,5014192,705036,21
